Key	de	fr	it	nl	ru
header_penstate_update_running	Update läuft …	Mise à jour en cours...	Update in corso...	Update wordt uitgevoerd…	Идёт процесс обновления
header_userhub_language	Sprache	Langue	Lingua	Taal	Язык
header_userhub_login	Anmelden	Connexion	Login	Aanmelden	Войти
header_userhub_logged_in	Angemeldet	Connecté	Collegato	Aangemeld	Вы вошли в систему
header_userhub_shop	Warenkorb	Panier	Carrello	Winkelwagen	Корзина
header_userhub_settings	Optionen	Options	Opzioni	Opties	Опции
header_userhub_logout	Abmelden	Déconnexion	Logout	Afmelden	Выйти
header_userhub_to_account	zum Kundenkonto	Vers le compte client	Vai all'account cliente	naar de account	На клиентский аккаунт
header_download_cancel	Abbrechen	Annuler	Annulla	Annuleren	Отмена
footer_legal_notice	Impressum & Datenschutz	Mentions légales et protection des données	Avviso legale e protezione dei dati	Colofon & privacybeleid	Контактная информация & защита данных
footer_pen_serialnumber_format	tiptoi® Stift {0}	Lecteur tiptoi® {0}	Lettore digitale tiptoi® {0}	tiptoi® stift {0}	Ручка tiptoi® {0}
footer_pen_firmware_format	Firmware-Version {0}	Version du firmware {0}	Versione firmware {0}	Firmware-versie {0}	Версия микропрограммы {0}
footer_manager_version_format	tiptoi® Manager {0}	tiptoi® Manager {0}	tiptoi® Manager {0}	tiptoi® manager {0}	tiptoi® Manager {0}
download_screen_headline	Herzlich willkommen im tiptoi® Manager!	Bienvenue dans tiptoi® Manager	Benvenuti nel tiptoi® Manager	Welkom in de tiptoi® manager	Добро пожаловать в программу tiptoi® Manager
download_screen_info	Sie möchten eine Audiodatei für ein tiptoi® Produkt auf Ihren tiptoi® Stift laden? Bitte geben Sie den Namen Ihres Produkts ein:	Vous souhaitez charger un fichier audio pour un produit tiptoi® sur votre lecteur tiptoi® ? Veuillez saisir le nom de votre produit :	Desiderate caricare un file audio per un prodotto tiptoi® sul vostro lettore tiptoi®? Inserite il nome del vostro prodotto:	Wilt u een audiobestand voor een tiptoi® product downloaden op uw tiptoi® stift? Voer de naam van uw product in:	Вы хотите загрузить аудиофайл для продукта tiptoi® на Вашу ручку tiptoi®? Пожалуйста, задайте наименование Вашего продукта:
download_screen_news_headline	Aktuelles	Actualités	Novità	Actuele onderwerpen	Последняя информация
download_screen_search_suggestions	Vorschläge	Propositions	Proposte	Suggesties	Предложения
download_screen_search_placeholder	Ihr tiptoi® Produkt	Votre produit tiptoi®	Il vostro prodotto tiptoi®	Uw tiptoi® product	Ваш tiptoi® продукт
download_screen_search_full_summary	{0} Suchergebnisse für "{1}"	{0} résultats de recherche pour « {1} »	{0} risultati di ricerca per "{1}"	{0} zoekresultaten voor "{1}"	{0} Результатов поиска для "{1}"
catalog_screen_search_placeholder	Suchbegriff eingeben	Saisir les termes de recherche	Inserire la chiave di ricerca	Zoekterm invoeren	Задать в поиск
audio_screen_search_placeholder	Suchbegriff eingeben	Saisir les termes de recherche	Inserire la chiave di ricerca	Zoekterm invoeren	Задать в поиск
dropdown_age_label	Alter:	Âge :	Età:	Leeftijd:	Возраст:
dropdown_age_item_format	{0} Jahre	{0} ans	{0} anni	{0} jaar	{0} лет
dropdown_age_item_text_all	Jedes Alter	Tous les âges	Qualsiasi età	Iedere leeftijd	Любой возраст
dropdown_sort_label	Sortierung:	Tri :	Ordina per:	Sortering:	Сортировка:
dropdown_sort_item_text_newest	Neueste	Nouveautés	Più recenti	Nieuwste	Последнее
dropdown_sort_item_text_bestsellers	Bestseller	Bestseller	Bestseller	Bestseller	Бестселлер
dropdown_sort_item_text_alphabetical	A-Z	A-Z	A-Z	A-Z	А-Я
dropdown_sort_item_text_price_ascending	Preis aufsteigend	Prix croissant	Prezzo crescente	Prijs oplopend	Цена по возрастанию
dropdown_sort_item_text_price_descending	Preis absteigend	Prix décroissant	Prezzo decrescente	Prijs aflopend	Цена по убыванию
dropdown_series_label	Reihe:	Série :	Serie:	Reeks:	Ряд:
dropdown_series_item_text_all	Alle Reihen	Tous	Tutti	Alle	Все
pen_screen_memory_label	Speicher:	Mémoire :	Memoria:	Geheugen:	Накопитель памяти:
pen_screen_memory_free_space_format	{0} von {1} GB frei	{0} sur {1} Go de mémoire libre	{0} di {1} GB disponibili	{0} van {1} GB vrij	{0} из {1} Гбайтов свободно
pen_screen_pen_files_headline	Dateien auf Ihrem Stift	Fichiers sur votre lecteur	File sul vostro lettore	Bestanden op uw stift	Файлы на Вашей ручке
pen_screen_pc_files_headline	Dateien auf Ihrem Computer	Fichiers sur votre ordinateur	File sul vostro computer	Bestanden op uw computer	Файлы на Вашем компьютере
pen_screen_products_tab	Audiodateien	Fichiers audio	File audio	Audiobestanden	Аудиофайлы
pen_screen_audios_tab	Hörbücher und Lieder	Livres audio et chansons	Audiolibri e canzoni	Luisterboeken en liedjes	Аудиокниги и песни
pen_screen_licenses_headline	Lizenzen in Ihrem Besitz	Licences en votre possession	Le vostre licenze	Licenties in uw bezit	Ваша лицензия
pen_screen_install_item_button_text	Auf Stift laden	Charger sur le lecteur	Carica su lettore	Downloaden op stift	Загрузить на ручку
pen_screen_delete_from_pen_item_button_text	Löschen	Supprimer	Cancella	Wissen	Удалить
pen_screen_delete_from_pc_item_button_text	Vom PC löschen	Supprimer du PC	Cancella dal PC	Wissen van de pc	Удалить с ПК
pen_screen_license_content_already_installed	{0} Lizenz frei für weiteren Stift	{0} licence disponible pour un autre lecteur	{0} Licenza disponibile per un altro lettore	{0} licentie vrij voor andere stift	{0} Свободная лицензия на следующую ручку
pen_screen_license_already_in_use	{0} Lizenz bereits in Gebrauch	{0} licence déjà utilisée	{0} Licenza già in uso	{0} licentie al in gebruik	{0} Лицензия уже используется
pen_screen_no_products_installed	Keine Audiodateien vorhanden	Pas de fichier audio disponible	Nessun file audio disponibile	Geen audiobestanden beschikbaar	Аудиофайлы не найдены
pen_screen_no_audios_installed	Keine Hörbücher oder Lieder vorhanden	Pas de livre audio ou de chanson disponible	Nessun audiolibro o canzone disponibile	Geen luisterboeken of liedjes beschikbaar	Аудиокниги или песни не найдены
pen_screen_delete_all_recordings_button	Aufnahmen löschen	Supprimer les enregistrements	Rimozione delle registrazioni	Opnames wissen	Удалить записи
pen_screen_check_and_delete_corrupted_files_button	Stift prüfen	Contrôler le lecteur	Verificare il lettore	Stift controleren	Проверить ручку
pen_screen_set_volume_button	Lautstärke einstellen	Régler le volume sonore	Impostazione del volume	Pas het volume aan	Отрегулировать громкость
pen_screen_deletion_popup_headline	Löschen	Supprimer	Cancella	Wissen	Удалить
pen_screen_deletion_popup_body	Der Vorgang kann einige Sekunden dauern.	Le processus peut prendre quelques secondes.	Il processo può richiedere alcuni secondi.	Het proces kan enkele seconden duren.	Процесс может занять несколько секунд.
pen_volume_overlay_headline	Lautstärke einstellen	Régler le volume sonore	Impostazione del volume	Pas het volume aan	Отрегулировать громкость
pen_volume_overlay_description	Hier können Sie die Lautstärke des angeschlossenen Stiftes begrenzen. Schieben Sie den Regler z.B. auf 5, um die Lautstärke aller Stufen zu halbieren.\n<b>Hinweis</b>: Ihre Einstellungen werden direkt auf den angeschlossenen Stift übertragen und sind bei der nächsten Benutzung wirksam. 	Ici, vous pouvez limiter le volume sonore du lecteur connecté. Faites glisser le curseur sur 5, par exemple, pour réduire de moitié le volume de tous les niveaux.\n<b>Remarque</b> : Vos paramètres sont transférés directement au lecteur connecté et prennent effet la prochaine fois que vous l'utilisez.	Qui potete limitare il volume del lettore collegata. Spostando il cursore su 5, ad esempio, si dimezza il volume di tutti i livelli.\n<b>Nota</b>: le tue impostazioni vengono trasferite direttamente al lettore collegata e diventano effettive al successivo utilizzo.	Hier kunt u het volume van de aangesloten stift beperken. Verplaats de schuifregelaar bijvoorbeeld naar 5 om het volume van alle niveaus te halveren.\n<b>Opmerking</b>: uw instellingen worden rechtstreeks naar de aangesloten stift overgebracht en worden de volgende keer dat u deze gebruikt van kracht.	Здесь можно установить уровень громкости подключенной ручки. Переместите ползунок, например, на 5, чтобы уменьшить громкость всех уровней вдвое.\n<b>Примечание</b>. Ваши настройки переносятся непосредственно на подключенное перо и вступают в силу при следующем использовании.
pen_volume_overlay_remember_session_volume	Eingestellte Laustärke beim Ausschalten für den nächsten Start speichern.	Sauvegarder le volume sonore réglé au moment de l'arrêt pour le retrouver à la prochaine mise en marche.	Quando si spegne memorizzare il volume impostato per l'avvio successivo.	Sla het ingestelde volumeniveau op voor de volgende start.	Сохранить установленный уровень громкости для следующего старта после выключения.
help_screen_headline	Wie können wir Ihnen helfen?	Que pouvons-nous faire pour vous ?	Come possiamo aiutarvi?	Hoe kunnen wij u helpen?	Нужна помощь?
help_screen_download_item	Kurzanleitung\ntiptoi® Audiodateien laden	Charger des fichiers audio tiptoi®	Caricare i file audio tiptoi®	tiptoi® audiobestanden downloaden	Загрузить аудиофайлы tiptoi®
help_screen_wifi_pen_help_item	Assistent\ntiptoi® Stift WLAN einrichten	Assistent\ntiptoi® Stift WLAN einrichten	Assistent\ntiptoi® Stift WLAN einrichten	Assistent\ntiptoi® Stift WLAN einrichten	Assistent\ntiptoi® Stift WLAN einrichten
help_screen_terms_of_service_item	Nutzungsbedingungen	Conditions d’utilisation	Condizioni d’uso	Gebruiksvoorwaarden	Пользовательские условия
help_screen_contact_item	Servicestelle kontaktieren	Contacter le point de service	Contattare il servizio assistenza	Contact opnemen met service	Связаться с сервисным центром
help_screen_help_item	Hilfe	Aide	Guida	Hulp	Помощь
help_screen_legal_notice_item	Datenschutz & Impressum	Mentions légales et protection des données	Avviso legale e protezione dei dati	Colofon & privacybeleid	Контактная информация & защита данных
help_screen_pen_base_item	Information zur tiptoi® Ladestation	Information sur la station de recharge tiptoi® 	Informazioni sulla stazione di ricarica tiptoi®	Informatie over het tiptoi® laadstation	Информация по зарядной станции tiptoi®
product_detail_overlay_install_file_button	Audiodatei für dieses Produkt laden	Charger le fichier audio	Caricare file audio del prodotto	Audiobestand downloaden	Загрузить аудиофайл для продукта
product_detail_overlay_install_audio_button	Gekauften Titel auf Stift übertragen	Transférer le titre acheté au lecteur	Trasferisci titolo acquistato su lettore	Aangekochte titel op stift kopiëren	Перенести продукт на ручку
product_detail_overlay_already_installed_button	Datei auf Stift vorhanden	Fichier disponible sur le lecteur	File audio già sul lettore	Bestand op stift voorhanden	Файл найден на ручке
product_detail_overlay_already_downloaded_button	Audiodatei auf Computer vorhanden	Fichier audio disponible sur l’ordinateur	File audio già sul computer	Audiobestand op computer voorhanden	Аудиофайл найден в компьютере
product_detail_overlay_already_in_queue_button	Datei in Warteschlange	Fichier en file d'attente	File in coda	Bestand in wachtrij	Файл в режиме ожидания
product_detail_overlay_need_supplement	Sie besitzen dieses Produkt noch nicht?	Vous n'avez pas encore ce produit ?	Non avete ancora questo prodotto?	Bent u nog niet in het bezit van dit product?	Вы еще не купили данный продукт?
product_detail_overlay_shop_link	Zum Shop geht's hier.	Cliquez ici pour accéder à la boutique.	Vai al negozio	Hier gaat het naar de shop.	Вход в интернет-магазин
product_detail_overlay_in_stock	auf Lager	en stock	in magazzino	op voorraad	На складе
product_detail_overlay_out_of_stock	derzeit nicht lieferbar	actuellement non disponible	al momento non disponibile	momenteel niet leverbaar	в настощий момент не поставляется
product_detail_overlay_tax_included	Preis inkl. MwSt. zzgl. Versandkosten	Prix TTC, hors frais de port	Prezzo IVA inclusa + spese di spedizione	Prijs incl. BTW excl. verzendkosten	Цена, включая НДС, расходы на пересылку добавляются дополнительно
product_detail_overlay_price_format	{0} € (D)	{0} € (D)	{0} € (D)	{0} € (D)	{0} € (D)
product_detail_overlay_owns_license	Sie besitzen diesen Titel.	Vous possédez ce titre.	Avete già questo titolo.	U bezit deze titel.	Вы обладаете данным продуктом.
product_detail_overlay_unused_license_available	Es werden aktuell {0} von {1} Ihrer Lizenzen auf Stiften verwendet.	{0} de vos {1} licences sont actuellement utilisées sur des lecteurs.	Al momento vengono utilizzate {0} di {1} licenze sui vostri lettori digitali.	Er worden momenteel {0} van {1} van uw licenties op stiften gebruikt .	В настоящий момент используются {0} из {1} Ваших лицензий на ручку.
product_detail_overlay_all_licenses_in_use	{0}Der Titel kann nicht auf den angeschlossenen Stift übertragen werden. Es werden aktuell {1} von {2} Ihrer Lizenzen auf Stiften verwendet.	{0} Le titre ne peut pas être transféré au lecteur connecté. {1} de vos {2} licences sont actuellement utilisées sur des lecteurs.	{0}Il brano non può essere trasferito sul lettore collegato. Al momento vengono utilizzate {1} di {2} licenze sui vostri lettori digitali.	{0}De titel kan niet op de aangesloten stift worden gekopieerd. Er worden momenteel {1} van {2} van uw licenties op stiften gebruikt.	{0}Продукт не может быть перенесён на подключённую ручку. В настоящий момент используются {0} из {1} Ваших лицензий на ручку.
product_detail_overlay_age_tag	Jahre	ans	Anni	jaar	Лет
product_detail_overlay_audio_sample_play_button	Probehören	Écouter un extrait	Prova di ascolto	Proefluisteren	Пробное прослушивание
product_detail_overlay_audio_sample_pause_button	Pausieren	Mettre en pause	Pausa	Pauzeren	Остановка
account_overlay_intention_buy	Kundenkonto für den Kauf erforderlich.	Compte client requis pour l'achat	Necessario un account cliente per l’acquisto.	Account vereist voor de aankoop.	Для совершения покупки необходим аккаунт клиента
account_overlay_intention_audiobook	Kundenkonto für den Kauf von tiptoi® Hörbüchern und Liedern erforderlich.	Compte client requis pour l’achat de livres audio et de chansons tiptoi®.	Necessario un account cliente per l’acquisto di audiolibri e canzoni tiptoi®.	Account vereist voor de aankoop van tiptoi® luisterboeken en liedjes.	Для совершения покупки tiptoi® аудиокниг или песен необходим аккаунт клиента
account_overlay_register	Kundenkonto erstellen	Créer un compte client	Creare account cliente	Account aanmaken	Создать аккаунт
account_overlay_email_placeholder	E-Mail-Adresse	Adresse e-mail	Indirizzo e-mail	E-mailadres	Электронный адрес
account_overlay_login_email_subheading	Melden Sie sich mit Ihrer E-Mail-Adresse an:	Connectez-vous avec votre adresse e-mail :	Registratevi con il vostro indirizzo e-mail:	Meld u met uw e-mailadres aan:	Зайдите с помощью Вашего электронного адреса:
account_overlay_login_password_placeholder	Passwort	Mot de passe	Password	Wachtwoord	Пароль
account_overlay_login_password_reset	Passwort vergessen?	Mot de passe oublié ?	Avete dimenticato la password?	Wachtwoord vergeten?	Забыли пароль?
account_overlay_login_stay_logged_in	Automatisch anmelden	Se connecter automatiquement en tant que	Login automatico	Automatisch aanmelden	Зайти автоматически
account_overlay_login_error_empty_email	Keine E-Mail-Adresse eingegeben.	Aucune adresse e-mail n’a été saisie.	Non si è inserito l’indirizzo e-mail.	Geen e-mailadres ingevoerd.	Не задан электронный адрес
account_overlay_login_error_empty_password	Kein Passwort eingegeben.	Aucun mot de passe n'a été saisi.	Non si è inserita la password.	Geen wachtwoord ingevoerd.	Не задан пароль
account_overlay_login_error_invalid_email_format	Ungültige E-Mail-Adresse eingegeben.	L’adresse e-mail saisie est invalide.	Indirizzo e-mail non valido.	Ongeldig e-mailadres ingevoerd.	Задан неверный электронный адрес
account_overlay_login_error_nonexistent_email	Unbekannte E-Mail-Adresse eingegeben.	L’adresse e-mail saisie est inconnue.	Inserito un indirizzo e-mail sconosciuto.	Onbekend e-mailadres ingevoerd.	Задан несуществующий электронный адрес
account_overlay_login_error_login_failed	Falsches Passwort oder falsche E-Mail-Adresse eingegeben.	Mot de passe ou adresse e-mail erronés saisis.	Password o indirizzo e-mail errati.	Verkeerd wachtwoord of verkeerd e-mailadres ingevoerd.	Задан неверный пароль или неверный электронный адрес
account_overlay_login_login	Anmelden	Connexion	Login	Aanmelden	Войти
account_overlay_register_prename	Vorname	Prénom	Nome	Voornaam	Имя
account_overlay_register_surname	Name	Name	Cognome	Naam	Фамилия
account_overlay_register_terms_of_service	Nutzungsbedingungen	Conditions d’utilisation	Condizioni d’uso	Gebruiksvoorwaarden	Пользовательские условия
account_overlay_register_terms_of_service_format	Ich habe die {0} gelesen und bin damit einverstanden.	J'ai lu et j’accepte les {0}.	Ho letto e accetto le {0}.	Ik heb de {0} gelezen en ga akkoord.	Я прочитал {0} и с ними согласен.
account_overlay_register_error_prename	Kein Vorname eingegeben.	Vous n’avez pas entré de prénom.	Non si è inserito il nome.	Geen voornaam ingevoerd.	Не задано имя
account_overlay_register_error_surname	Kein Nachname eingegeben.	Vous n’avez pas entré de nom.	Non si è inserito il cognome.	Geen achternaam ingevoerd.	Не задана фамилия
account_overlay_register_error_email	Keine E-Mail-Adresse eingegeben.	Aucune adresse e-mail n’a été saisie.	Non si è inserito l’indirizzo e-mail.	Geen e-mailadres ingevoerd.	Не задан электронный адрес
account_overlay_register_error_email_already_exists	E-Mail-Adresse wird bereits verwendet.	Cette adresse e-mail est déjà utilisée.	Indirizzo di posta elettronica già in uso.	E-mailadres wordt reeds gebruikt.	Данный электронный адрес уже используется
account_overlay_register_error_email_format_invalid	Ungültige E-Mail-Adresse eingegeben.	L’adresse e-mail saisie est invalide.	Indirizzo e-mail non valido.	Ongeldig e-mailadres ingevoerd.	Задан неверный электронный адрес
account_overlay_register_error_invalid_characters	Enthält ungültige Zeichen.	Contient des caractères non autorisés.	Contiene caratteri non validi.	Bevat ongeldige tekens.	Содержит недопустимые символы.
account_overlay_register_error_terms_of_service	Nutzungsbedingungen nicht akzeptiert.	Vous n’avez pas accepté les conditions d'utilisation.	Non sono state accettate le Condizioni d’uso.	Gebruiksvoorwaarden niet geaccepteerd.	Пользовательские условия не приняты
account_overlay_register_login	Zur Anmeldung	Aller à l’inscription	Al login	Naar de aanmelding	На вход
account_overlay_register_head	Jetzt Kundenkonto eröffnen	Ouvrez un compte client maintenant	Aprite ora un account cliente	Nu een account openen	Создать клиентский аккаунт
account_overlay_register_subtitle	oder haben Sie bereits ein Kundenkonto?	Vous possédez déjà un compte client ?	o avete già un account cliente?	of hebt u al een account?	или у Вас уже есть клиентский аккаунт?
account_overlay_register_subtitle_button	Anmelden	Connexion	Login	Aanmelden	Войти
account_overlay_login_head	Melden Sie sich mit Ihrem Kundenkonto an	Connectez-vous à l'aide de votre compte client.	Registratevi tramite il vostro account cliente	Meld u met uw account aan	Зайдите через Ваш клиентский аккаунт
account_overlay_login_subtitle	oder haben Sie noch kein Kundenkonto?	Vous n'avez pas encore de compte client ?	o non avete ancora un account cliente?	of hebt u nog geen account?	или у Вас ещё нет клиентского аккаунта?
account_overlay_login_subtitle_button	Kundenkonto erstellen	Créer un compte client	Creare account cliente	Account aanmaken	Создать клиентский аккаунт
account_overlay_welcome_headline	Herzlich willkommen im tiptoi® Manager!	Bienvenue sur tiptoi® Manager !	Benvenuti nel tiptoi® Manager!	Van harte welkom in de tiptoi® manager!	Добро пожаловать на tiptoi® Manager!
account_overlay_welcome_subtitle	Die einfache Art tiptoi® Audiodateien zu laden.	Un moyen facile de charger des fichiers audio tiptoi®.	Un modo semplice per caricare i file audio tiptoi®.	De eenvoudige manier om tiptoi® audiobestanden te downloaden.	Простой способ загрузить tiptoi® аудиофайлы.
account_overlay_welcome_register_note	Kundenkonto erstellen und loslegen	Créer un compte client et commencer	Creare account cliente e iniziare	Account aanmaken en van start gaan	Создать клиентский аккаунт и начать
account_overlay_welcome_register_button	Kundenkonto erstellen	Créer un compte client	Creare account cliente	Account aanmaken	Создать клиентский аккаунт
account_overlay_welcome_register_divider	oder	ou	oppure	of	или
account_overlay_welcome_login_note	Haben Sie bereits ein Kundenkonto?	Vous possédez déjà un compte client ?	avete già un account cliente?	Hebt u reeds een account?	у Вас уже есть клиентский аккаунт?
account_overlay_welcome_login_button	Anmelden	Connexion	Login	Aanmelden	Войти
account_overlay_welcome_cancel_note	Ich möchte kein Kundenkonto erstellen.	Je ne souhaite pas créer de compte client.	Non desidero un account cliente.	Ik wil geen account aanmaken.	Мне не нужен аккаунт.
account_overlay_welcome_cancel_button	Ohne Kundenkonto	Sans compte client	Senza account cliente	Zonder account	Без счета
settings_overlay_head	Optionen	Options	Opzioni	Opties	Опции
settings_overlay_updates_label	Aktualisierungen	Mise à jour	Aggiornamenti	Updates	Обновления
settings_overlay_language_label	Sprache ändern	Changer la langue	Modifica lingua	Taal wijzigen	Изменить языковые настройки
settings_overlay_data_usage_label	Erhebung von Nutzungsdaten	Collecte des données d'utilisation	Raccolta dei dati di utilizzo	Verzamelen van gebruiksgegevens	Сбор и хранение пользовательских данных
settings_overlay_automatic_firmwarve_update_toggle	Aktualisierungen der Firmware automatisch auf den tiptoi® Stift laden.	Charger automatiquement les mises à jour du firmware sur le lecteur tiptoi®.	Caricare automaticamente gli aggiornamenti del firmware sul lettore tiptoi®.	Updates van de firmware automatisch downloaden op de tiptoi® stift.	Автоматическая загрузка обновлений фирменных продуктов на ручку tiptoi®
settings_overlay_automatic_product_update_toggle	Aktualisierungen von Audiodateien automatisch auf den tiptoi® Stift laden.	Charger automatiquement les mises à jour des fichiers audio sur le lecteur tiptoi®.	Caricare automaticamente gli aggiornamenti dei file audio sul lettore tiptoi®.	Updates van audiobestanden automatisch downloaden op de tiptoi® stift.	Автоматическая загрузка обновлений аудиофайлов на ручку tiptoi®
settings_overlay_automatic_product_install_toggle	Auf den Computer geladene Audiodateien automatisch auf den tiptoi® Stift laden.	Charger automatiquement les fichiers audio téléchargés sur l’ordinateur sur le lecteur tiptoi®.	Caricare automaticamente i file audio scaricati sul PC sul lettore tiptoi®.	Op de computer gedownloade audiobestanden automatisch downloaden op de tiptoi® stift.	Автоматическая загрузка аудиофайлов на ручку tiptoi®, загруженных на компьютер
settings_overlay_language_description	Hier können Sie die Sprache des tiptoi® Managers ändern.\n<b>Hinweis:</b> Im Produktkatalog sehen Sie nur die Produkte, die in der jeweiligen Sprache verfügbar sind.	Vous pouvez modifier ici la langue de tiptoi® Manager.\n<b>Remarque :</b> Le catalogue produits n'affiche que les produits disponibles dans la langue respective.	Qui potete modificare la lingua del tiptoi® Manager.\n<b>Nota:</b> nel catalogo prodotti vedete solo i prodotti disponibili nella rispettiva lingua.	Hier kunt u de taal van de tiptoi® manager wijzigen.\n<b>Opmerking:</b> in de productcatalogus ziet u alleen de producten, die in de respectieve taal beschikbaar zijn.	Здесь можно изменить язык tiptoi® Manager.\n<b>Указание:</b> В каталоге представлены только те продукты, которые имеются на соответствующем языке.
settings_overlay_language_dropdown_label	Sprache:	Langue :	Lingua:	Taal:	Язык:
tutorial_prompt_overlay_headline	Herzlich willkommen im tiptoi® Manager!	Bienvenue dans le nouveau tiptoi® Manager	Benvenuti nel nuovo tiptoi® Manager	Van harte welkom in de nieuwe tiptoi® manager	Добро пожаловть в программу tiptoi® Manager
tutorial_prompt_overlay_welcome_message	Mit dem tiptoi® Manager können Sie Audiodateien zu Ihren tiptoi® Produkten laden, im Produktkatalog stöbern oder Ihren tiptoi® Stift verwalten.	Avec tiptoi® Manager, vous pouvez charger des fichiers audio pour vos produits tiptoi®, parcourir le catalogue de produits ou administrer votre lecteur tiptoi®.	Con il tiptoi® Manager potete scaricare i file audio per i vostri prodotti tiptoi®, sfogliare online il catalogo prodotti o gestire il vostro lettore tiptoi®	Met de tiptoi® manager kunt u audiobestanden van uw tiptoi® producten downloaden, een kijkje nemen in de catalogus of uw tiptoi® stift beheren.	С помощью программы tiptoi® Manager Вы можете загружать аудиофайлы к Вашим tiptoi®продуктам, просматривать каталог товаров или управлять Вашей tiptoi® ручкой.
tutorial_prompt_overlay_tutorial_question	Möchten Sie eine Einführung in die wichtigsten Funktionen des tiptoi® Managers?	Souhaitez-vous une introduction aux fonctions les plus importantes de tiptoi® Manager ?	Desiderate un’introduzione alle funzioni più importanti del tiptoi® Manager?	Wilt u graag een introductie in de belangrijkste functies van de tiptoi® manager?	Желаете руководство по работе с основными функциями программы tiptoi®Manager?
tutorial_prompt_overlay_start_tutorial_button	Einführung starten	Démarrer l’introduction	Inizia introduzione	Introductie starten	Запустить руководство
tutorial_prompt_overlay_skip_tutorial_button	Jetzt nicht	Pas maintenant	Non ora	Nu niet	Не сейчас
wifi_pen_prompt_overlay_headline	tiptoi® Stift WLAN-Edition	tiptoi® Stift WLAN-Edition	tiptoi® Stift WLAN-Edition	tiptoi® Stift WLAN-Edition	tiptoi® Stift WLAN-Edition
wifi_pen_prompt_overlay_message	Sie haben erstmalig einen tiptoi® Stift WLAN-Edition angeschlossen.\n\nFalls Sie Fragen zur Einrichtung des Stiftes im WLAN haben, öffnen Sie bitte den Menüpunkt „Hilfe und Informationen“.	Sie haben erstmalig einen tiptoi® Stift WLAN-Edition angeschlossen.\n\nFalls Sie Fragen zur Einrichtung des Stiftes im WLAN haben, öffnen Sie bitte den Menüpunkt „Hilfe und Informationen“.	Sie haben erstmalig einen tiptoi® Stift WLAN-Edition angeschlossen.\n\nFalls Sie Fragen zur Einrichtung des Stiftes im WLAN haben, öffnen Sie bitte den Menüpunkt „Hilfe und Informationen“.	Sie haben erstmalig einen tiptoi® Stift WLAN-Edition angeschlossen.\n\nFalls Sie Fragen zur Einrichtung des Stiftes im WLAN haben, öffnen Sie bitte den Menüpunkt „Hilfe und Informationen“.	Sie haben erstmalig einen tiptoi® Stift WLAN-Edition angeschlossen.\n\nFalls Sie Fragen zur Einrichtung des Stiftes im WLAN haben, öffnen Sie bitte den Menüpunkt „Hilfe und Informationen“.
